species_name,concentration
H2SO4,  8.1249673191079468E+11
HCOOH,  8.5190125968394608E+10
CCO_OH,  1.1853948243760388E+12
RCO_OH,  7.7379961894262000E+11
CCO_OOH,  6.3824615431977197E+11
RCO_OOH,  4.1464501063750867E+11
XN,  2.0843474570575909E+11
XC,  5.6223862133248643E+12
SO2,  4.1130328632523499E+11
O1D,  9.8632592809299657E-01
ALK1,  2.1291908062025262E+11
BACL,  2.0446080875380783E+01
PAN,  4.7231911053007239E+11
PAN2,  4.4494800779889606E+11
PBZN,  8.3829964575109625E+08
MA_PAN,  3.3790245719743043E+07
H2O2,  3.3167943196653644E+11
N2O5,  1.5133606285250363E+08
HONO,  2.1476008339240065E+08
ALK2,  1.4011684513882693E+11
ALK3,  7.6766377814331604E+10
TBU_O,  1.0485211609167102E+03
ALK5,  1.9695328452081222E+07
ARO2,  2.5041919767016949E-02
HNO4,  1.9150420037943821E+09
COOH,  1.1045895637997113E+11
HOCOO,  1.5233848770384493E+05
BZNO2_O,  6.6689956981036801E-10
MEOH,  7.8310214004280289E+10
ALK4,  7.2175566111583796E+09
ARO1,  3.6784923269295120E+08
DCB2,  2.6594202851027739E+06
DCB3,  5.9801635691022058E+05
CRES,  5.2882404940088317E+06
DCB1,  2.3770847677626416E+07
NPHE,  1.3465904266338223E+08
ROOH,  1.0812485887223193E+11
BALD,  1.4204051995272055E+07
PHEN,  1.5608006760624077E+06
CO,  6.2638697988308242E+12
MGLY,  2.5868937368314944E+07
ACET,  8.6988948052061719E+11
HNO3,  2.2232691067065410E+12
ETHENE,  8.7587228390082009E+06
GLY,  2.3046554993461819E+09
BZ_O,  1.6040702233715076E+04
ISOPRENE,  2.8969962902084476E-45
R2O2,  2.6384366208186916E+08
TERP,  6.1550089985846690E-74
METHACRO,  5.0763323492563271E-07
OLE1,  7.5265929851245508E-09
ISOPROD,  1.4275991959906935E-22
OLE2,  7.8370416565695974E-60
MVK,  6.9351183476920847E-02
CCHO,  1.0649833814231252E+11
HCHO,  1.6752185843654248E+11
RNO3,  7.7386619423621140E+09
O3P,  1.2116151676403666E+05
RCHO,  7.4334838731841675E+10
MEK,  2.9432763680006122E+11
PROD2,  2.0464782512736359E+09
O3,  1.1437863664661973E+13
HO2,  2.0601889465113235E+09
RO2_N,  2.3524072635505233E+07
MA_RCO3,  1.7560414071401363E+04
C_O2,  1.4301173825268855E+09
BZCO_O2,  3.5105805408839317E+05
RO2_R,  9.8095359946425509E+08
NO,  2.6681792627057228E+09
NO2,  6.5567914381437813E+10
NO3,  1.0182560734998316E+08
CCO_O2,  4.8488246622528881E+08
RCO_O2,  3.2858004358357710E+08
OH,  2.8642309745789178E+07
AIR,  2.4476000000000000E+19
O2,  5.1154840000000000E+18
H2O,  4.8952000000000000E+17
H2,  0.0000000000000000E+00
CH4,  2.4476000000000000E+13
